Age,Attrition,AttritionRaw,BusinessTravel,DailyRate,Department,DeptCode,DistanceFromHome,Education,EducationField,EducFieldCode,EnvironmentSatisfaction,Gender,GenderCode,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OvertimeDone,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,1,Yes,Travel_Rarely,1102,Sales,Sales,1,2,Life Sciences,LS,2,Female,1,94,3,2,Sales Executive,4,Single,5993,8,Y,Yes,11,3,1,0,8,0,1,6,4,0,5
49,0,No,Travel_Frequently,279,Research & Development,R&D,8,1,Life Sciences,LS,3,Male,0,61,2,2,Research Scientist,2,Married,5130,1,Y,No,23,4,4,1,10,3,3,10,7,1,7
37,1,Yes,Travel_Rarely,1373,Research & Development,R&D,2,2,Other,O,4,Male,0,92,2,1,Laboratory Technician,3,Single,2090,6,Y,Yes,15,3,2,0,7,3,3,0,0,0,0
33,0,No,Travel_Frequently,1392,Research & Development,R&D,3,4,Life Sciences,LS,4,Female,1,56,3,1,Research Scientist,3,Married,2909,1,Y,Yes,11,3,3,0,8,3,3,8,7,3,0
27,0,No,Travel_Rarely,591,Research & Development,R&D,2,1,Medical,MED,1,Male,0,40,3,1,Laboratory Technician,2,Married,3468,9,Y,No,12,3,4,1,6,3,3,2,2,2,2
32,0,No,Travel_Frequently,1005,Research & Development,R&D,2,2,Life Sciences,LS,4,Male,0,79,3,1,Laboratory Technician,4,Single,3068,0,Y,No,13,3,3,0,8,2,2,7,7,3,6
59,0,No,Travel_Rarely,1324,Research & Development,R&D,3,3,Medical,MED,3,Female,1,81,4,1,Laboratory Technician,1,Married,2670,4,Y,Yes,20,4,1,3,12,3,2,1,0,0,0
30,0,No,Travel_Rarely,1358,Research & Development,R&D,24,1,Life Sciences,LS,4,Male,0,67,3,1,Laboratory Technician,3,Divorced,2693,1,Y,No,22,4,2,1,1,2,3,1,0,0,0
38,0,No,Travel_Frequently,216,Research & Development,R&D,23,3,Life Sciences,LS,4,Male,0,44,2,3,Manufacturing Director,3,Single,9526,0,Y,No,21,4,2,0,10,2,3,9,7,1,8
36,0,No,Travel_Rarely,1299,Research & Development,R&D,27,3,Medical,MED,3,Male,0,94,3,2,Healthcare Representative,3,Married,5237,6,Y,No,13,3,2,2,17,3,2,7,7,7,7
35,0,No,Travel_Rarely,809,Research & Development,R&D,16,3,Medical,MED,1,Male,0,84,4,1,Laboratory Technician,2,Married,2426,0,Y,No,13,3,3,1,6,5,3,5,4,0,3
29,0,No,Travel_Rarely,153,Research & Development,R&D,15,2,Life Sciences,LS,4,Female,1,49,2,2,Laboratory Technician,3,Single,4193,0,Y,Yes,12,3,4,0,10,3,3,9,5,0,8
31,0,No,Travel_Rarely,670,Research & Development,R&D,26,1,Life Sciences,LS,1,Male,0,31,3,1,Research Scientist,3,Divorced,2911,1,Y,No,17,3,4,1,5,1,2,5,2,4,3
34,0,No,Travel_Rarely,1346,Research & Development,R&D,19,2,Medical,MED,2,Male,0,93,3,1,Laboratory Technician,4,Divorced,2661,0,Y,No,11,3,3,1,3,2,3,2,2,1,2
28,1,Yes,Travel_Rarely,103,Research & Development,R&D,24,3,Life Sciences,LS,3,Male,0,50,2,1,Laboratory Technician,3,Single,2028,5,Y,Yes,14,3,2,0,6,4,3,4,2,0,3
29,0,No,Travel_Rarely,1389,Research & Development,R&D,21,4,Life Sciences,LS,2,Female,1,51,4,3,Manufacturing Director,1,Divorced,9980,1,Y,No,11,3,3,1,10,1,3,10,9,8,8
32,0,No,Travel_Rarely,334,Research & Development,R&D,5,2,Life Sciences,LS,1,Male,0,80,4,1,Research Scientist,2,Divorced,3298,0,Y,Yes,12,3,4,2,7,5,2,6,2,0,5
22,0,No,Non-Travel,1123,Research & Development,R&D,16,2,Medical,MED,4,Male,0,96,4,1,Laboratory Technician,4,Divorced,2935,1,Y,Yes,13,3,2,2,1,2,2,1,0,0,0
53,0,No,Travel_Rarely,1219,Sales,Sales,2,4,Life Sciences,LS,1,Female,1,78,2,4,Manager,4,Married,15427,2,Y,No,16,3,3,0,31,3,3,25,8,3,7
38,0,No,Travel_Rarely,371,Research & Development,R&D,2,3,Life Sciences,LS,4,Male,0,45,3,1,Research Scientist,4,Single,3944,5,Y,Yes,11,3,3,0,6,3,3,3,2,1,2
24,0,No,Non-Travel,673,Research & Development,R&D,11,2,Other,O,1,Female,1,96,4,2,Manufacturing Director,3,Divorced,4011,0,Y,No,18,3,4,1,5,5,2,4,2,1,3
36,1,Yes,Travel_Rarely,1218,Sales,Sales,9,4,Life Sciences,LS,3,Male,0,82,2,1,Sales Representative,1,Single,3407,7,Y,No,23,4,2,0,10,4,3,5,3,0,3
34,0,No,Travel_Rarely,419,Research & Development,R&D,7,4,Life Sciences,LS,1,Female,1,53,3,3,Research Director,2,Single,11994,0,Y,No,11,3,3,0,13,4,3,12,6,2,11
21,0,No,Travel_Rarely,391,Research & Development,R&D,15,2,Life Sciences,LS,3,Male,0,96,3,1,Research Scientist,4,Single,1232,1,Y,No,14,3,4,0,0,6,3,0,0,0,0
34,1,Yes,Travel_Rarely,699,Research & Development,R&D,6,1,Medical,MED,2,Male,0,83,3,1,Research Scientist,1,Single,2960,2,Y,No,11,3,3,0,8,2,3,4,2,1,3
53,0,No,Travel_Rarely,1282,Research & Development,R&D,5,3,Other,O,3,Female,1,58,3,5,Manager,3,Divorced,19094,4,Y,No,11,3,4,1,26,3,2,14,13,4,8
32,1,Yes,Travel_Frequently,1125,Research & Development,R&D,16,1,Life Sciences,LS,2,Female,1,72,1,1,Research Scientist,1,Single,3919,1,Y,Yes,22,4,2,0,10,5,3,10,2,6,7
42,0,No,Travel_Rarely,691,Sales,Sales,8,4,Marketing,O,3,Male,0,48,3,2,Sales Executive,2,Married,6825,0,Y,No,11,3,4,1,10,2,3,9,7,4,2
44,0,No,Travel_Rarely,477,Research & Development,R&D,7,4,Medical,MED,1,Female,1,42,2,3,Healthcare Representative,4,Married,10248,3,Y,No,14,3,4,1,24,4,3,22,6,5,17
46,0,No,Travel_Rarely,705,Sales,Sales,2,4,Marketing,O,2,Female,1,83,3,5,Manager,1,Single,18947,3,Y,No,12,3,4,0,22,2,2,2,2,2,1
33,0,No,Travel_Rarely,924,Research & Development,R&D,2,3,Medical,MED,3,Male,0,78,3,1,Laboratory Technician,4,Single,2496,4,Y,No,11,3,4,0,7,3,3,1,1,0,0
44,0,No,Travel_Rarely,1459,Research & Development,R&D,10,4,Other,O,4,Male,0,41,3,2,Healthcare Representative,4,Married,6465,2,Y,Yes,13,3,4,0,9,5,4,4,2,1,3
30,0,No,Travel_Rarely,125,Research & Development,R&D,9,2,Medical,MED,4,Male,0,83,2,1,Laboratory Technician,3,Single,2206,1,Y,No,13,3,1,0,10,5,3,10,0,1,8
39,1,Yes,Travel_Rarely,895,Sales,Sales,5,3,Technical Degree,O,4,Male,0,56,3,2,Sales Representative,4,Married,2086,3,Y,No,14,3,3,1,19,6,4,1,0,0,0
24,1,Yes,Travel_Rarely,813,Research & Development,R&D,1,3,Medical,MED,2,Male,0,61,3,1,Research Scientist,4,Married,2293,2,Y,Yes,16,3,1,1,6,2,2,2,0,2,0
43,0,No,Travel_Rarely,1273,Research & Development,R&D,2,2,Medical,MED,4,Female,1,72,4,1,Research Scientist,3,Divorced,2645,1,Y,No,12,3,4,2,6,3,2,5,3,1,4
50,1,Yes,Travel_Rarely,869,Sales,Sales,3,2,Marketing,O,1,Male,0,86,2,1,Sales Representative,3,Married,2683,1,Y,Yes,14,3,3,0,3,2,3,3,2,0,2
35,0,No,Travel_Rarely,890,Sales,Sales,2,3,Marketing,O,4,Female,1,97,3,1,Sales Representative,4,Married,2014,1,Y,No,13,3,1,0,2,3,3,2,2,2,2
36,0,No,Travel_Rarely,852,Research & Development,R&D,5,4,Life Sciences,LS,2,Female,1,82,2,1,Research Scientist,1,Married,3419,9,Y,Yes,14,3,4,1,6,3,4,1,1,0,0
33,0,No,Travel_Frequently,1141,Sales,Sales,1,3,Life Sciences,LS,3,Female,1,42,4,2,Sales Executive,1,Married,5376,2,Y,No,19,3,1,2,10,3,3,5,3,1,3
35,0,No,Travel_Rarely,464,Research & Development,R&D,4,2,Other,O,3,Male,0,75,3,1,Laboratory Technician,4,Divorced,1951,1,Y,No,12,3,3,1,1,3,3,1,0,0,0
27,0,No,Travel_Rarely,1240,Research & Development,R&D,2,4,Life Sciences,LS,4,Female,1,33,3,1,Laboratory Technician,1,Divorced,2341,1,Y,No,13,3,4,1,1,6,3,1,0,0,0
26,1,Yes,Travel_Rarely,1357,Research & Development,R&D,25,3,Life Sciences,LS,1,Male,0,48,1,1,Laboratory Technician,3,Single,2293,1,Y,No,12,3,3,0,1,2,2,1,0,0,1
27,0,No,Travel_Frequently,994,Sales,Sales,8,3,Life Sciences,LS,4,Male,0,37,3,3,Sales Executive,3,Single,8726,1,Y,No,15,3,4,0,9,0,3,9,8,1,7
